Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-08T22:54:10.308Z","Errored, Not Charged","claude-4.5-sonnet","No","154488","35089","1396974","7990","1594541","1.22"
"2025-10-08T22:21:24.177Z","On-Demand","claude-4.5-sonnet","No","10348","86400","1271321","4980","1373049","0.54"
"2025-10-08T22:14:01.876Z","On-Demand","claude-4.5-sonnet","No","112040","89918","927912","10136","1140006","0.91"
"2025-10-08T22:10:58.571Z","On-Demand","claude-4.5-sonnet","No","101869","61416","1284861","5135","1453281","0.86"
"2025-10-08T22:00:04.458Z","On-Demand","claude-4.5-sonnet","No","4178","59793","292921","620","357512","0.12"
"2025-10-08T21:49:58.088Z","Errored, Not Charged","claude-4.5-sonnet","No","171230","46149","2230939","13923","2462241","1.53"
"2025-10-08T21:42:57.219Z","On-Demand","claude-4.5-sonnet","No","61444","43692","575410","8526","689072","0.54"
"2025-10-08T21:31:23.370Z","On-Demand","claude-4.5-sonnet","No","48115","36180","120023","3963","208281","0.27"
"2025-10-08T21:28:43.971Z","On-Demand","claude-4.5-sonnet","No","13475","41026","208804","2750","266055","0.21"
"2025-10-08T21:26:33.599Z","On-Demand","claude-4.5-sonnet","No","1068","34808","209416","2305","247597","0.15"
"2025-10-08T21:25:38.229Z","On-Demand","claude-4.5-sonnet","No","10587","20880","211927","2200","245594","0.15"
"2025-10-08T21:24:03.427Z","On-Demand","claude-4.5-sonnet","No","18020","145655","342530","2995","509200","0.32"
"2025-10-08T21:21:12.465Z","On-Demand","claude-4.5-sonnet","No","12863","134129","1622054","4890","1773936","0.70"
"2025-10-08T21:18:46.039Z","On-Demand","claude-4.5-sonnet","No","146181","108581","475648","816","731226","0.73"
"2025-10-08T21:08:10.046Z","On-Demand","claude-4.5-sonnet","No","145037","107597","620835","1152","874621","0.77"
"2025-10-08T21:05:35.246Z","On-Demand","claude-4.5-sonnet","No","668","103359","299864","289","404180","0.12"
"2025-10-08T21:05:12.558Z","On-Demand","claude-4.5-sonnet","No","1445","102629","297370","251","401695","0.12"
"2025-10-08T21:04:38.301Z","On-Demand","claude-4.5-sonnet","No","3796","102691","440061","519","547067","0.18"
"2025-10-08T21:01:36.459Z","On-Demand","claude-4.5-sonnet","No","7487","107924","1410024","3355","1528790","0.55"
"2025-10-08T20:59:45.493Z","On-Demand","claude-4.5-sonnet","No","4453","96215","540377","1954","642999","0.23"
"2025-10-08T20:56:41.463Z","On-Demand","claude-4.5-sonnet","No","9581","103993","2050391","5032","2168997","0.79"
"2025-10-08T20:53:14.601Z","On-Demand","claude-4.5-sonnet","No","113456","88246","129180","1289","332171","0.50"
"2025-10-08T17:36:59.984Z","On-Demand","claude-4.5-sonnet","No","131352","116083","836441","5213","1089089","0.86"
"2025-10-08T16:29:53.888Z","On-Demand","claude-4.5-sonnet","No","2268","88097","456301","2058","548724","0.22"
"2025-10-08T16:25:25.697Z","On-Demand","claude-4.5-sonnet","No","15965","98438","1050241","6467","1171111","0.56"
"2025-10-08T16:24:13.586Z","Errored, Not Charged","claude-4.5-sonnet","No","87239","77553","470266","3184","638242","0.57"
"2025-10-08T15:58:44.328Z","On-Demand","claude-4.5-sonnet","No","143916","70007","1049123","5413","1268459","1.00"
"2025-10-08T15:48:39.393Z","On-Demand","claude-4.5-sonnet","No","61069","70635","328543","2062","462309","0.44"
"2025-10-08T15:42:35.364Z","On-Demand","claude-4.5-sonnet","No","2650","29060","226609","1029","259348","0.11"
"2025-10-08T15:40:33.069Z","Errored, Not Charged","claude-4.5-sonnet","No","69701","42436","325159","3936","441232","0.49"
"2025-10-08T15:38:38.887Z","Errored, Not Charged","claude-4.5-sonnet","No","29841","134357","382571","14735","561504","0.47"
"2025-10-08T15:35:21.421Z","Errored, Not Charged","claude-4.5-sonnet","No","5912","13126","494979","3919","517936","0.27"
"2025-10-08T15:32:36.931Z","On-Demand","claude-4.5-sonnet","No","151928","118618","325589","2654","598789","0.77"
"2025-10-08T15:15:07.932Z","On-Demand","claude-4.5-sonnet","No","8907","101353","446979","2559","559798","0.22"
"2025-10-08T15:13:29.820Z","On-Demand","claude-4.5-sonnet","No","134378","104142","439759","2824","681103","0.74"
"2025-10-08T15:02:05.279Z","On-Demand","claude-4.5-sonnet","No","2000","91961","419155","2455","515571","0.19"
"2025-10-08T14:58:25.489Z","On-Demand","claude-4.5-sonnet","No","1230","87194","551889","881","641194","0.20"
"2025-10-08T14:57:37.994Z","On-Demand","claude-4.5-sonnet","No","1463","1980","355334","343","359120","0.10"
"2025-10-08T14:56:31.332Z","On-Demand","claude-4.5-sonnet","No","1550","87453","264542","324","353869","0.12"
"2025-10-08T14:54:30.019Z","On-Demand","claude-4.5-sonnet","No","3662","82574","649724","4973","740933","0.26"
"2025-10-08T14:50:51.776Z","On-Demand","claude-4.5-sonnet","No","5087","79627","626006","2825","713545","0.27"
"2025-10-08T14:48:37.180Z","On-Demand","claude-4.5-sonnet","No","3903","79010","843586","6210","932709","0.36"
"2025-10-08T14:48:12.755Z","Errored, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-08T14:44:51.067Z","On-Demand","claude-4.5-sonnet","No","107517","87286","1231519","6280","1432602","0.94"
"2025-10-08T13:55:07.908Z","On-Demand","claude-4.5-sonnet","No","97126","2652","283566","772","384116","0.45"
"2025-10-08T13:54:59.911Z","Errored, Not Charged","claude-4.5-sonnet","No","0","63547","0","310","63857","0.01"
"2025-10-08T13:46:50.010Z","Errored, Not Charged","claude-4.5-sonnet","No","186041","61526","431427","1104","680098","0.86"
"2025-10-08T13:44:22.074Z","On-Demand","claude-4.5-sonnet","No","123112","115416","1027687","4744","1270959","0.90"
"2025-10-08T12:55:22.148Z","On-Demand","claude-4.5-sonnet","No","107989","101203","1129976","3698","1342866","0.85"
"2025-10-08T12:52:12.716Z","On-Demand","claude-4.5-sonnet","No","95097","87278","215093","794","398262","0.45"
"2025-10-08T12:51:13.190Z","Included","auto","No","0","112","6656","51","6819","0.002"
"2025-10-08T12:50:59.397Z","Included","auto","No","0","6675","0","28","6703","0.01"
"2025-10-08T12:44:47.842Z","On-Demand","claude-4.5-sonnet","No","93803","187547","1643917","7086","1932353","1.03"
"2025-10-08T12:44:39.770Z","Errored, Not Charged","claude-4.5-sonnet","No","0","169647","0","14","169661","0.03"
"2025-10-08T11:47:13.177Z","On-Demand","claude-4.5-sonnet","No","5941","63880","283738","3005","356564","0.18"
"2025-10-08T11:46:04.008Z","On-Demand","claude-4.5-sonnet","No","895","59966","91647","161","152669","0.05"
"2025-10-08T11:36:58.502Z","On-Demand","claude-4.5-sonnet","No","82472","60198","719669","2481","864820","0.59"
"2025-10-08T11:27:02.537Z","On-Demand","claude-4.5-sonnet","No","76578","57339","672793","2027","808737","0.55"
"2025-10-08T11:25:05.527Z","On-Demand","claude-4.5-sonnet","No","13561","17564","94830","8269","134224","0.25"
"2025-10-08T11:17:02.985Z","On-Demand","claude-4.5-sonnet","No","26555","52205","761167","3595","843522","0.44"
"2025-10-08T11:16:11.194Z","Errored, Not Charged","claude-4.5-sonnet","No","51339","36909","309762","1054","399064","0.32"
"2025-10-08T10:59:56.066Z","On-Demand","claude-4.5-sonnet","No","47594","36810","276872","3115","364391","0.34"
"2025-10-08T10:48:03.981Z","On-Demand","claude-4.5-sonnet","No","9264","35502","271803","6296","322865","0.21"
"2025-10-08T10:43:24.742Z","On-Demand","claude-4.5-sonnet","No","30221","21069","164352","886","216528","0.19"
"2025-10-08T10:29:23.596Z","On-Demand","claude-4.5-sonnet","No","25716","25246","181789","8608","241359","0.32"
"2025-10-08T10:19:54.088Z","On-Demand","claude-4.5-sonnet","No","13444","435","9884","402","24165","0.06"
"2025-10-08T09:16:11.264Z","On-Demand","claude-4.5-sonnet","No","158863","115423","343195","1744","619225","0.76"
"2025-10-08T09:10:23.670Z","On-Demand","claude-4.5-sonnet","No","144829","106210","1052353","4902","1308294","0.97"
"2025-10-08T08:51:23.626Z","On-Demand","claude-4.5-sonnet","No","11490","103597","959587","5936","1080610","0.47"
"2025-10-08T08:45:15.965Z","On-Demand","claude-4.5-sonnet","No","122702","109568","1792373","15474","2040117","1.33"
"2025-10-08T08:36:19.773Z","Errored, Not Charged","claude-4.5-sonnet","No","93148","114363","2323196","16024","2546731","1.63"
"2025-10-07T22:29:40.207Z","On-Demand","claude-4.5-sonnet","No","61403","136995","3676145","14628","3889171","1.66"
"2025-10-07T22:28:12.275Z","On-Demand","claude-4.5-sonnet","No","143301","129768","293333","2502","568904","0.75"
"2025-10-07T22:20:59.855Z","On-Demand","claude-4.5-sonnet","No","152068","121479","318104","1495","593146","0.76"
"2025-10-07T22:01:00.067Z","On-Demand","claude-4.5-sonnet","No","8409","93129","1019210","2241","1122989","0.41"
"2025-10-07T21:58:06.315Z","Errored, Not Charged","claude-4.5-sonnet","No","113163","81739","715596","2655","913153","0.72"
"2025-10-07T20:52:04.255Z","On-Demand","claude-4.5-sonnet","No","136752","91168","582539","1737","812196","0.74"
"2025-10-07T20:38:41.439Z","On-Demand","claude-4.5-sonnet","No","7012","86929","685588","1578","781107","0.28"
"2025-10-07T20:36:07.298Z","On-Demand","claude-4.5-sonnet","No","7269","85597","521256","1128","615250","0.23"
"2025-10-07T20:33:57.242Z","On-Demand","claude-4.5-sonnet","No","7913","85288","487781","1971","582953","0.25"
"2025-10-07T20:31:49.472Z","On-Demand","claude-4.5-sonnet","No","9093","77170","679481","2196","767940","0.31"
"2025-10-07T20:28:45.923Z","On-Demand","claude-4.5-sonnet","No","99336","72357","641727","2501","815921","0.64"
"2025-10-07T20:28:33.934Z","Errored, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-07T20:19:55.090Z","On-Demand","claude-4.5-sonnet","No","89317","62232","206297","1427","359273","0.44"
"2025-10-07T20:19:45.648Z","Aborted, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-07T18:43:16.163Z","On-Demand","claude-4.5-sonnet","No","85970","85248","1218989","7238","1397445","0.91"
"2025-10-07T18:39:34.930Z","On-Demand","claude-4.5-sonnet","No","12911","54519","561899","5971","635300","0.35"
"2025-10-07T18:37:11.444Z","On-Demand","claude-4.5-sonnet","No","102118","75160","731000","4527","912805","0.71"
"2025-10-07T18:31:38.140Z","Errored, Not Charged","claude-4.5-sonnet","No","92403","46891","523041","5118","667453","0.65"
"2025-10-07T18:20:44.505Z","On-Demand","claude-4.5-sonnet","No","39706","243504","1968064","13837","2265111","0.95"
"2025-10-07T18:16:13.681Z","On-Demand","claude-4.5-sonnet","No","10183","119047","1787481","2926","1919637","0.67"
"2025-10-07T18:09:16.590Z","On-Demand","claude-4.5-sonnet","No","146907","118183","2359660","9642","2634392","1.47"
"2025-10-07T18:01:32.416Z","On-Demand","claude-4.5-sonnet","No","10028","101290","797485","5170","913973","0.39"
"2025-10-07T17:57:04.081Z","On-Demand","claude-4.5-sonnet","No","118532","99198","507996","4501","730227","0.71"
"2025-10-07T17:47:38.000Z","On-Demand","claude-4.5-sonnet","No","10773","102167","1131951","4961","1249852","0.53"
"2025-10-07T17:43:45.129Z","Errored, Not Charged","claude-4.5-sonnet","No","14268","114538","2424469","8508","2561783","1.03"
"2025-10-07T17:42:28.316Z","On-Demand","claude-4.5-sonnet","No","95311","80844","510991","1037","688183","0.58"
"2025-10-07T17:34:40.373Z","On-Demand","claude-4.5-sonnet","No","87742","98653","965011","6544","1157950","0.84"
"2025-10-07T17:20:43.377Z","On-Demand","claude-4.5-sonnet","No","9018","41889","278766","2183","331856","0.19"
"2025-10-07T17:15:57.797Z","On-Demand","claude-4.5-sonnet","No","43198","44036","871457","11340","970031","0.68"
"2025-10-07T16:56:53.183Z","On-Demand","claude-4.5-sonnet","No","17714","113751","206685","3095","341245","0.22"
"2025-10-07T16:45:06.614Z","On-Demand","claude-4.5-sonnet","No","1162","104197","332734","6078","444171","0.19"
"2025-10-07T16:41:57.761Z","On-Demand","claude-4.5-sonnet","No","156627","98664","503088","843","759222","0.77"
"2025-10-07T16:36:07.156Z","On-Demand","claude-4.5-sonnet","No","153394","99661","955358","2689","1211102","0.94"
"2025-10-07T16:24:49.236Z","Errored, Not Charged","claude-4.5-sonnet","No","139836","76127","3270115","43813","3529891","2.39"
"2025-10-07T16:24:37.413Z","Errored, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-07T16:15:47.298Z","On-Demand","claude-4.5-sonnet","No","55254","66648","113093","13655","248650","0.53"
"2025-10-07T16:07:02.433Z","On-Demand","claude-4.5-sonnet","No","40805","1183","9991","1012","52991","0.17"
"2025-10-07T15:54:10.969Z","On-Demand","claude-4.5-sonnet","No","1384","14049","99424","557","115414","0.05"
"2025-10-07T15:53:31.095Z","On-Demand","claude-4.5-sonnet","No","1675","13192","94811","570","110248","0.05"
"2025-10-07T15:52:00.022Z","On-Demand","claude-4.5-sonnet","No","3874","13386","114390","738","132388","0.07"
"2025-10-07T15:51:11.912Z","On-Demand","claude-4.5-sonnet","No","1427","9497","78701","497","90122","0.04"
"2025-10-07T15:50:49.088Z","On-Demand","claude-4.5-sonnet","No","15952","12813","56059","713","85537","0.11"
"2025-10-07T15:49:51.548Z","Included","auto","No","0","5959","0","70","6029","0.01"
"2025-10-07T15:48:22.289Z","Included","auto","No","0","4245","0","65","4310","0.01"
"2025-10-07T15:45:17.831Z","On-Demand","claude-4.5-sonnet","No","7022","6484","51487","506","65499","0.06"
"2025-10-07T15:43:58.241Z","On-Demand","claude-4.5-sonnet","No","7577","2289","41037","674","51577","0.06"
"2025-10-07T15:10:37.642Z","On-Demand","claude-4.5-sonnet","No","4213","829","23185","358","28585","0.03"
"2025-10-07T15:05:32.475Z","On-Demand","claude-4.5-sonnet","No","170600","63306","578633","2743","815282","0.89"
"2025-10-07T14:40:22.326Z","On-Demand","claude-4.5-sonnet","No","214090","59539","1301367","9424","1584420","1.42"
"2025-10-07T14:20:22.454Z","On-Demand","claude-4.5-sonnet","No","141766","35204","452063","3797","632830","0.76"
"2025-10-07T14:06:42.153Z","Included","auto","No","29539","31298","434297","2837","497971","0.20"
"2025-10-07T14:04:10.818Z","Errored, Not Charged","claude-4.5-sonnet","No","244483","105224","702041","5523","1057271","1.28"
"2025-10-07T13:42:33.499Z","On-Demand","claude-4.5-sonnet","No","321968","99373","4616289","9100","5046730","2.82"
"2025-10-07T13:32:28.038Z","On-Demand","claude-4.5-sonnet","No","161551","106480","2982230","17018","3267279","1.93"
"2025-10-07T13:30:30.189Z","Errored, Not Charged","claude-4.5-sonnet","No","5120","48636","193089","281","247126","0.10"
"2025-10-07T13:26:51.377Z","On-Demand","claude-4.5-sonnet","No","89122","48873","100012","4644","242651","0.45"
"2025-10-07T13:16:32.145Z","On-Demand","claude-4.5-sonnet","No","79568","59201","397789","16146","552704","0.73"
"2025-10-07T12:25:06.909Z","On-Demand","claude-4.5-sonnet","No","55867","70142","246810","21303","394122","0.81"
"2025-10-07T10:41:35.078Z","On-Demand","claude-4.5-sonnet","No","15348","10185","65859","854","92246","0.12"
"2025-10-07T10:32:11.437Z","On-Demand","claude-4.5-sonnet","No","125563","105974","1056583","4280","1292400","0.92"
"2025-10-07T06:54:30.818Z","On-Demand","claude-4.5-sonnet","No","109617","100062","2545751","7899","2763329","1.39"
"2025-10-06T23:01:47.133Z","On-Demand","claude-4.5-sonnet","No","244412","204477","4197797","18639","4665325","2.74"
"2025-10-06T22:44:35.580Z","On-Demand","claude-4.5-sonnet","No","32260","113295","1643878","18081","1807514","1.00"
"2025-10-06T22:43:45.357Z","Errored, Not Charged","claude-4.5-sonnet","No","0","77473","0","8","77481","0.01"
"2025-10-06T22:33:21.502Z","On-Demand","claude-4.5-sonnet","No","12136","74311","915156","6073","1007676","0.45"
"2025-10-06T22:31:13.186Z","Errored, Not Charged","claude-4.5-sonnet","No","80539","63866","9569","313","154287","0.33"
"2025-10-06T22:30:26.986Z","Errored, Not Charged","claude-4.5-sonnet","No","0","66856","0","8","66864","0.01"
"2025-10-06T22:17:50.813Z","On-Demand","claude-4.5-sonnet","No","13912","56592","573218","2912","646634","0.31"
"2025-10-06T22:14:52.851Z","On-Demand","claude-4.5-sonnet","No","4653","44133","360705","2090","411581","0.18"
"2025-10-06T22:09:17.659Z","On-Demand","claude-4.5-sonnet","No","21878","47185","341962","6025","417050","0.34"
"2025-10-06T22:03:19.152Z","On-Demand","claude-4.5-sonnet","No","9535","28809","443824","3446","485614","0.25"
"2025-10-06T22:00:54.841Z","On-Demand","claude-4.5-sonnet","No","22928","36572","322052","7368","388920","0.40"
"2025-10-06T22:00:06.493Z","Errored, Not Charged","claude-4.5-sonnet","No","6811","18102","25892","342","51147","0.09"
"2025-10-06T21:59:33.874Z","On-Demand","claude-4.5-sonnet","No","9013","27816","134927","1638","173394","0.12"
"2025-10-06T21:53:18.765Z","On-Demand","claude-4.5-sonnet","No","58516","184548","295819","14176","553059","0.49"
"2025-10-06T20:15:32.814Z","On-Demand","claude-4.5-sonnet","No","170762","94240","982177","2469","1249648","1.02"
"2025-10-06T20:12:51.596Z","On-Demand","claude-4.5-sonnet","No","23619","85054","901804","3808","1014285","0.46"
"2025-10-06T20:08:10.801Z","On-Demand","claude-4.5-sonnet","No","414853","76661","444328","1517","937359","1.75"
"2025-10-06T20:02:53.948Z","On-Demand","claude-4.5-sonnet","No","4183","66352","405448","865","476848","0.17"
"2025-10-06T19:57:55.108Z","On-Demand","claude-4.5-sonnet","No","250856","68311","806272","2088","1127527","1.25"
"2025-10-06T19:42:32.584Z","On-Demand","claude-4.5-sonnet","No","25624","78113","2138995","8496","2251228","0.97"
"2025-10-06T19:37:21.053Z","On-Demand","claude-4.5-sonnet","No","90972","48073","692766","2607","834418","0.62"
"2025-10-06T19:34:08.151Z","On-Demand","claude-4.5-sonnet","No","11773","47442","1037084","4631","1100930","0.46"
"2025-10-06T19:31:03.374Z","On-Demand","claude-4.5-sonnet","No","18422","51177","706026","9535","785160","0.49"
"2025-10-06T19:27:14.872Z","Errored, Not Charged","claude-4.5-sonnet","No","101544","39487","773919","11090","926040","0.84"
"2025-10-06T19:13:42.164Z","On-Demand","claude-4.5-sonnet","No","46376","136995","1471126","27461","1681958","0.90"
"2025-10-06T19:13:34.366Z","On-Demand","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-06T19:13:14.669Z","Errored, Not Charged","claude-4.5-sonnet","No","1347","121199","156648","164","279358","0.08"
"2025-10-06T18:58:39.589Z","Errored, Not Charged","claude-4.5-sonnet","No","312410","126970","1521042","4653","1965075","1.75"
"2025-10-06T18:56:58.506Z","Errored, Not Charged","claude-4.5-sonnet","No","266596","124143","1285112","3743","1679594","1.51"
"2025-10-06T16:29:19.121Z","On-Demand","claude-4.5-sonnet","No","19898","15809","67027","1044","103778","0.16"
"2025-10-06T16:26:17.515Z","On-Demand","claude-4.5-sonnet","No","24802","70975","992725","7999","1096501","0.59"
"2025-10-06T16:20:56.196Z","On-Demand","claude-4.5-sonnet","No","54140","47955","256874","1241","360210","0.32"
"2025-10-06T16:03:00.428Z","On-Demand","claude-4.5-sonnet-thinking","No","50021","41920","214616","3048","309605","0.42"
"2025-10-06T15:50:40.543Z","On-Demand","cheetah","No","33780","28098","543122","3686","608686","0.15"
"2025-10-06T15:44:59.889Z","On-Demand","claude-4.5-sonnet","No","129223","113415","552800","1918","797356","0.72"
"2025-10-06T15:25:29.266Z","On-Demand","cheetah","No","22289","4124","458208","4497","489118","0.12"
"2025-10-06T15:21:37.827Z","On-Demand","claude-4.5-sonnet","No","230367","112587","743000","4811","1090765","1.23"
"2025-10-06T15:09:40.728Z","On-Demand","claude-4.5-sonnet","No","186852","124231","1746236","9715","2067034","1.56"
"2025-10-06T13:44:58.749Z","On-Demand","cheetah","No","6901","28371","74176","388","109836","0.03"
"2025-10-06T13:43:47.484Z","On-Demand","cheetah","No","26829","1052","663848","3107","694836","0.15"
"2025-10-05T21:23:32.676Z","On-Demand","claude-4.5-sonnet","No","124032","95424","1517028","2731","1739215","1.06"
"2025-10-05T21:14:20.830Z","On-Demand","claude-4.5-sonnet","No","102480","78715","1530093","12113","1723401","1.13"
"2025-10-05T21:06:10.631Z","On-Demand","claude-4.5-sonnet","No","98128","196371","1692596","25457","2012552","1.21"
"2025-10-05T20:58:07.156Z","On-Demand","claude-4.5-sonnet","No","29412","100930","1096071","9090","1235503","0.67"
"2025-10-05T20:53:45.232Z","On-Demand","claude-4.5-sonnet","No","116284","79606","2522975","5618","2724483","1.37"
"2025-10-05T18:34:48.461Z","On-Demand","claude-4.5-sonnet","No","92467","62456","375180","8416","538519","0.62"
"2025-10-05T18:21:59.134Z","Errored, Not Charged","claude-4.5-sonnet","No","233408","100888","726659","20922","1081877","1.30"
"2025-10-05T18:09:20.080Z","On-Demand","claude-4.5-sonnet","No","44545","100461","538725","6815","690546","0.46"
"2025-10-05T18:03:06.579Z","On-Demand","claude-4.5-sonnet","No","41025","68882","757556","9101","876564","0.53"
"2025-10-05T17:57:30.770Z","Errored, Not Charged","claude-4.5-sonnet","No","298288","105482","2000212","9800","2413782","1.89"
"2025-10-05T17:45:00.915Z","On-Demand","claude-4.5-sonnet","No","137946","86599","1187831","6942","1419318","1.01"
"2025-10-05T16:55:58.484Z","On-Demand","claude-4.5-sonnet","No","104551","31338","2050493","11606","2197988","1.20"
"2025-10-05T16:22:40.832Z","On-Demand","claude-4.5-sonnet","No","45774","112897","236697","2975","398343","0.31"
"2025-10-05T16:21:06.916Z","On-Demand","claude-4.5-sonnet","No","49645","120476","334033","3464","507618","0.36"
"2025-10-05T16:18:05.231Z","Errored, Not Charged","claude-4.5-sonnet","No","152000","103702","1189553","7093","1452348","1.06"
"2025-10-05T09:02:05.187Z","On-Demand","claude-4.5-sonnet","No","125446","92348","135093","358","353245","0.53"
"2025-10-05T08:59:30.939Z","On-Demand","claude-4.5-sonnet","No","26583","70024","1077492","5858","1179957","0.52"
"2025-10-05T08:55:28.433Z","On-Demand","claude-4.5-sonnet","No","89395","56272","772170","6335","924172","0.68"
"2025-10-05T08:45:04.999Z","On-Demand","claude-4.5-sonnet","No","64868","3288","548894","6337","623387","0.51"
"2025-10-05T08:35:20.319Z","Errored, Not Charged","claude-4.5-sonnet","No","238647","149751","1501242","10851","1900491","1.60"
"2025-10-05T08:26:06.945Z","On-Demand","claude-4.5-sonnet","No","21999","88104","654566","1349","766018","0.31"
"2025-10-05T08:23:59.042Z","Errored, Not Charged","claude-4.5-sonnet","No","112660","75323","1309925","3885","1501793","0.89"
"2025-10-05T08:14:44.352Z","On-Demand","claude-4.5-sonnet","No","163471","102523","1016182","5058","1287234","1.01"
"2025-10-05T08:14:03.249Z","On-Demand","claude-4.5-sonnet","No","102757","47582","2036621","10671","2197631","1.17"
"2025-10-04T22:34:24.875Z","On-Demand","claude-4.5-sonnet","No","99197","242642","797490","29013","1168342","0.82"
"2025-10-04T22:28:05.351Z","On-Demand","claude-4.5-sonnet","No","157077","120167","9253","493","286990","0.62"
"2025-10-04T22:15:01.167Z","On-Demand","claude-4.5-sonnet","No","294527","124495","1559077","4769","1982868","1.67"
"2025-10-04T22:13:41.649Z","Errored, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-04T19:09:39.072Z","On-Demand","claude-4.5-sonnet","No","151554","126057","1878847","3985","2160443","1.28"
"2025-10-04T19:02:20.178Z","On-Demand","claude-4.5-sonnet","No","14219","107352","1709417","3121","1834109","0.69"
"2025-10-04T19:00:21.058Z","On-Demand","claude-4.5-sonnet","No","12063","86174","236316","721","335274","0.15"
"2025-10-04T18:54:37.384Z","On-Demand","claude-4.5-sonnet","No","104124","91235","1201047","2720","1399126","0.87"
"2025-10-04T18:23:40.487Z","On-Demand","claude-4.5-sonnet","No","135394","84817","153505","272","373988","0.57"
"2025-10-04T17:56:29.341Z","On-Demand","claude-4.5-sonnet","No","134749","84144","9253","150","228296","0.52"
"2025-10-04T17:53:27.904Z","On-Demand","claude-4.5-sonnet","No","8930","77759","862177","3453","952319","0.42"
"2025-10-04T17:52:58.732Z","Aborted, Not Charged","claude-4.5-sonnet","No","0","0","0","0","0","0.00"
"2025-10-04T17:46:58.664Z","On-Demand","claude-4.5-sonnet","No","23462","58513","550196","1841","634012","0.33"
"2025-10-04T17:41:19.699Z","On-Demand","claude-4.5-sonnet","No","61351","114562","506553","1390","683856","0.46"
"2025-10-04T17:34:32.920Z","On-Demand","claude-4.5-sonnet","No","149572","106331","787874","3100","1046877","0.90"
"2025-10-04T17:33:14.276Z","On-Demand","claude-4.5-sonnet","No","8066","87796","964755","4373","1064990","0.42"
"2025-10-04T17:27:42.329Z","On-Demand","claude-4.5-sonnet","No","123804","83233","380430","4598","592065","0.71"
"2025-10-04T17:25:10.871Z","On-Demand","claude-4.5-sonnet","No","133222","99732","2689405","6587","2928946","1.50"
"2025-10-04T17:21:34.815Z","On-Demand","claude-4.5-sonnet","No","27906","78586","756503","3496","866491","0.46"
"2025-10-04T17:15:43.858Z","On-Demand","claude-4.5-sonnet","No","14353","75239","797881","1979","889452","0.37"
